page;rank;title;publisher
1;49;Reisch és Robinson Stolz Róbert: Vége a dalnak (Das Lied isnt aus);Rózsavölgyi És Társa
1;50;Kazimir Károly: A népművelő színház (Elvek és utak);Magvető Könyvkiadó, 1972
1;51;Lodro Rinzler: Walk like a Buddha;2013
1;52;2 db RaRe könyv, Ráth-Végh István: Az erényöv, Szemes Zsuzsa: Kanca Hotel;Magvető Kiadó
1;53;2 db RaRe könyv, Kunszabó Ferenc: Hét nap a hegyen, Dobai Péter: Ív;Magvető Kiadó
1;54;David Taylor: Doctor In The Zoo The Making of a Zoo Vet;Unwin Paperbacks, 1980
1;55;Max Zerwick S. J.: Der brief an die epheser;Patmos Verlag, 1963
1;56;Vlagyimir Beekman: A vastörpe (Ilusztrált kiadás, saját képpel);Móra Ferenc Ifjúsági Könyvk., 1982
1;57;John A. Mourant: Readings In The Philosophy Of Religion;Thomas Y. Crowell Company, 1969
1;58;Mgr. P. Pfister: Pages de Rome immortelle;Arthaud, 1954
1;59;Dr. Julius Lehr: Hand- Und Lehrbuch Der Staatswissenschaften : Grundbegriffe Und Grundlagen Der Volkswirtschaft (Politológia kézi- és tankönyv: A közgazdaságtan alapfogalmai és alapjai német nelven) 1893;
1;60;Dr. Johann Baptist von Hirscher: Christliche Moral Als Lehre (A keresztény erkölcs, mint tan német nyelven) - könyvkötői kötésben;
2;61;P. Franz Schmidberger: Das katholische priestertum;1990
2;62;F. Clive De Paula: The Principles of Auditing;Pitman Publishing, 1970
2;63;G. Müller: Heilkraft durch Verdünnen. Homöopathie - was steckt dahinter? - Gyógyító erő a hígításon keresztül. Homeopátia – mi van mögötte? (német nyelven);1992
2;64;2 db könyv, P. C. Jersild: A gyermekek szigete, Renate Krüger: Az ifjúság kútja;
2;65;J. S. Bach: Brandenburgisches Konzert No. 16 - Partitura;Zeneműkiadó
2;66;Marija Kozar Mukič Monika Kropej Telban Dušan Mukič: Pripovedno izročilo Slovencev v Porabju;2017
2;67;Belyó Pál (főszerk.): Bővülő Európa- Tények és tanulmányok 2001/1;Budapest, 2001
2;68;Chabanis Christian: Dieu existe t-il? non repondent;Fayard, 1973
2;69;Hans J. Geppert: Wir Gotteskinder: die Jesus-people-Bewegung;Echter Verlag, 1972
2;70;Carzou J. M.: Paris Larousse;1983
2;71;Wm. J. Robinson: Sex love and morality;1928
2;72;Több szerző: Előadások a vallás és az ateizmus történetéből V.;Tankönyvkiadó, 1961
2;73;Kovács Gábor: Árgya és a mester - Dedikált;Szerzői Kiadás, 2013
2;74;Kris Carr - Chad Sarno: Őrülten csábító ételek - 150 ínycsiklandozó recept a természet erejével - Saját képpel;Édesvíz Kiadó, 2016
2;75;L. van Beethoven: Beethoven Op.9. No.3. Trio No.5. C-moll für Violinen, Viola und Violoncell. ( Payne's Kleine Partitur- Ausgabe );Ernst Eulenburg
2;76;L. van Beethoven: Beethoven Op.135. Quartett No.17. F-dúr für 2 Violinen, Viola und Violoncell. ( Payne's Kleine Partitur- Ausgabe );Ernst Eulenburg
2;77;L. van Beethoven: Beethoven Op.3. Trio No.1. Es-dur für Violine, Viola und Violoncell. ( Payne's Kleine Partitur- Ausgabe );Ernst Eulenburg
2;78;L. van Beethoven: Beethoven Op.59. No.2. Quartett No.8. E-moll für 2 Violinen, Viola und Violoncell. ( Payne's Kleine Partitur- Ausgabe );Ernst Eulenburg
2;79;Philip Steele: The Human Race Volume 8;Grolier Enterprises, 2000
2;80;Robert M. Grant: Sixth Edition Contemperary Strategy Analysis;Blackwell publishers, 2008
2;81;John K. Singlaub: Hazardous Duty - An American Soldier in the Twentieth Century;Touchstone Books, 1992
2;82;Robert S. Kane: South America A to Z;1971
2;83;Dr. Nagy zsigmond: A Németalföldi irodalom története;1987
2;84;Huszár Ágnes: A predikatív viszony szintaktikai kategóriái (Nyelvtudományi értekezések 101.sz);Akadémiai Kiadó, 1979
2;85;Enzyklopadie der insekten I-II;Mosaik Verlag, 1994
2;86;"Szent István Társulat: II. János Pál pápa bullája a 2000. év nagy jubileumáról; II. János Pál pápa az egyház Európában kezdetű apostoli buzdítása; XVI. Benedek pápa az Isten szeretet kezdetű enciklikája; A kölni Ifjúsági Világtalálkozó (4 kötet)";Szent István Társulat
2;87;Kortárs Irodalmi és Kritikai folyóirat 1995-39.évf.-3.sz.;Magyar Írószövetség, 1995
2;88;Dr Pius Parsch: Das Jahr des Heiles 1929 (2. kötet);1929
2;89;Patrick J. Furlong: Indiana - An illustrated history;Windsor Publications, 1985
2;90;Roy Davis Clarence H. Lingham William H. Stone: Modern Business English;1940
2;91;Par A. Inizan: Le temps d'apprendre á lire;1964
2;92;Apostol Imre: A hitről;
2;93;Alfonsina Medici: Le acque sacre di S. Giovanni in Fonte;..., 2005
2;94;L. Gál Mária: Szívemig ér a csend - Dedikált! - Dedikált;2004
2;95;George Babcock: Yezad - A romance of the unknown;1922
2;96;dr Görgei Katalin: Természetgyógyász 1996/1-12. (3, 5, szám hiányzik.);1996
2;97;Dr. Borbély Endréné: Szakmai kémia I. + Szakmai kémia II.: A Papíripari kémia I. című jegyzet új címmel, de változatlan tartalommal. (2 kötet);Budapesti Műszaki Főiskola, 1997
2;98;dr. Précsényi Árpád (szerk.): A Budapesti Műszaki Egyetem évkönyve 1963/64 (Rsz. 63221);Tankönyvkiadó, 1965
2;99;"L. Ron Hubbard: Dianetikdie Moderne Wissenschaft Der Geistigen Gesundheit ; Das Handbuch Der Dianetik Verfahren- Dianetika a mentális egészség modern tudománya; A Dianetikai eljárások kézikönyve (német nyelven)";
2;100;esély 2014/1 Társadalom- és szociálpolitikai folyóirat;2014
2;101;"Kereskedelmi és Vendéglátóipari Főiskola: 4 db Matematika: Matematika I. (KG-163); Matematika II. 1. rész (KG-214/1); Feladatgyűjtemény a I.-II. kötetéhez (KG-176, KG-180)";Közgazdasági És Jogi Kiadó
2;102;P. de Chauvigny de Blot Petra Pronk: Business spiritualiteit ( Üzleti spiritualitás - hollan);2007
2;103;L. van Beethoven: Beethoven Op.18. No.6. Quartett No.6. B-dur für 2 Violinen, Viola und Violoncell. ( Payne's Kleine Partitur- Ausgabe );Ernst Eulenburg
2;104;Alan M. Dershowitz: America on Trail;Warner Books
2;105;Dr. György Ernő: Jogtudományi Közlöny - A közületi jogviták eldöntése.;Hírlapkiadó Vállalat, 1949
2;106;A Magyar Művészeti Akadémia évkönyve 2012;MMA Kiadó, 2012
2;107;Dr. Liszt Nándor Vincze Ottó: A három jóbarát;Bárd Ferenc És Fia
2;108;2 db RaRe könyv, James Aldridge: Amerikai párbaj, Christopher Diable: Abraham Coles taxisofőr leghosszabb útja;Magvető Kiadó
2;109;E. Gerdes: De verloren schuldbekentenis;
2;110;Prof. Dr. M. Schretzenmayr: Der wald;Urania Verlag, 1973
2;111;Dexter Masters: Baleset - Egy haldoklás krónikája (2. Magyar kiadás);Háttér Kiadó, 1992
2;112;James E. Miller Jr.: Heritage of American Literature I-II;Harcourt Brace Jovanovich, Inc, 1991
2;113;J. A. Daisenberger: Passions Spiel in oberammergau;Jos. C. Hubers Verlag, 1930
2;114;V. Sréter Ferenc: Újabb kísérleti adatok a csicsóka termesztési és használati értékéről - Doktori értékezés;Budapest, 1943
2;115;W. H. Hudson: Birds in Town and Village;London
2;116;O. G. Flüggen: Biographisches Bühnen-Lexikon der Deutschen Theather - 1892 - saját képpel - ritka;München
2;117;O órgão da Colegiada de Nossa Senhora da Oliveira;2014
2;118;Paul A. Compton - Márton Pécsi (szerk): Regional Development and Planning - British and hungarian case studies;Akadémiai Kiadó, 1976
2;119;Frank J. Fabozzi: Project financing - Projektfinanszírozás angol nyelvű;1995
2;120;Csányi Erzsébet (szerk.): A VMTDK tíz éve + VMTDK Kristály (Vajdasági Magyar Tudományos Diákköri Konferencia (2 kötet);Újvidék, 2011
3;121;Werner Bulst S. J.: Vernünftig Glaube;Morus-Verlag, 1957
3;122;Látóhatár válogatás a magyar kulturális sajtóból 1989 június;Pallas Lap- És Könyvkiadó, 1989
3;123;Látóhatár válogatás a magyar kulturális sajtóból 1991/2;Pallas Lap- És Könyvkiadó, 1991
3;124;Fried István: A nemzeti eposz keletközép-Európai sajátosságaihoz (Dedikált) - Dedikált;
3;125;D. Sharon J. Harstein G. Yantian: Robotics and automated Manufacturing;Pitman Publishing, 1987
3;126;Reuven (Steiner Róbert) Tsur: On Metaphoring - Könyv a metaforálásról (Israel Science Publishers);Tel Aviv, 1987
3;127;Szentkuthy Miklós: Szent Orpheus Breváriuma I-II.;Magvető Kiadó, 1973
3;128;Sheldon M. Ross: Introduction to Probability Models;ACADEMIC PRESS, 1980
3;129;C. Joachim Classen: Untersuchungen zu Platons Jagdbildern - Platón vadászképeinek vizsgálata német nyelven;Berlin, 1960
3;130;Than Károly: Emlékbeszéd Bunsen Róbert k. tag felett - X. kötet 11. szám;Magyar Tudományos Akadémia, 1901
3;131;Tara Larsen Chang: Up to the Housetop - Sing a Story;2008
3;132;Vámbéry Rusztem (szerk.) Varró István (szerk): Századunk.Társadalomtudományi Szemle (IX. évfolyam 4. szám - 1934 május-junius);Budapest, 1934
3;133;Dr. Hollós Ervin: Tudományos szocializmus - A Budapesti Műszaki Egyetem hallgatói számára;Tankönyvkiadó, 1973
3;134;Bodó György (szerk.): A marxista etika alapjai;Pedagógiai intézet, 1965
3;135;Német olvasó és gyakorlókönyv. A gimnáziumok VIII. osztálya számára (Thienemann Tivadar );Budapest, 1946
3;136;Otto Pannewitz Adolf Smitmans Siegfried H. Bucher: Eckhard Froeschlin und Emö Simonyi;2005
3;137;Kardos István korszakok /epochen/ 3 zongoradarab;Magánkiadás
3;138;Kercsmár - Kiss - Jankovics - Erdélyi: Univáz építési rendszer Univáz és KP jelü homlokzati faelemek vasúti szállítástechnológia I. változat;1984
3;139;A. Dunajevszkij: Hivatás;Ifjusági Könyvkiadó
3;140;Elwood S. Buffa: Modern production management;John Wiley & Sons, 1969
3;141;Joe Bennett: A Land Of The Two Halves;Scribner, 2004
3;142;Estefánné Varga Magdolna: Megújuló tananyagok a kompetencialapú tanárképzésben;Eger, 2011
3;143;Zick Rubin - Elton B. McNeil: Psychology:Being Human. Brief/Update - saját fotó;Harper & Row, Publishers, 1987
3;144;Eucardio Momligliano: Elisabetta D' Inghilterra;Milano
3;145;Das gehemnis der alten mamsell (Marlitt Romane 1.);Leipzig
3;146;Bill S. Ballinger: The Spy in the Jungle;Signet Books, 1965
3;147;Larry Warren John H Haynes: Ford Aerostar Mini-Vans;HAYNES, 1992
3;148;Mikszáth Kálmán: Mikszáth sorozat I-VIII. (Nemzetes uraimék, Nemzetes uraimék-A vármegye rókája, Beszterce ostroma, Akli Miklós, Akli Miklós-A demokraták, Új zrínyiász, Új zrínyiász-A fekete város;Babits Kiadó, 1993
3;149;Népi demokráciák néprajztudománya - Néprajzi dokumentáció 1954/4.;Néprajzi Múzeum, 1954
3;150;Dr. Szenes György: Szakképzés a fővárosban - Pro Scholis Urbis Közalapítvány - Díjnyertes pályázatok;Gödöllő, 2002
3;151;James Archambeault Thomas D. Clark: Kentucky II;Portland, Oregon, 1989
3;152;Mark K. Shriver: Pilgrimage: My Search for the Real Pope Francis;RANDOM HOUSE US, 2016
3;153;Robert F. Mager Peter Pipe: Analyzing Performance Problems, or You Really Oughta Wanna;1984
3;154;M. G. Wright: The director's guide to accounting and finance;McGraw-Hill Book Company, 1976
3;155;Több szerző: dalok és énekek könyve a katholikus elemi népiskolák III-IV. osztálya számára;
3;156;"dr. Jánossy Imre: I. Az emberi társadalom történetének a vázlata; II. A szociális kérdés felvetődése az emberi társadalom történetében";Debrecen, 1983
3;157;H. d'Ardenne de Tizac: L'art chinois classique;Paris, 1926
3;158;Kathy Merlock Jackson: Images of Children in American Film - A Sociocultural Analysis;1986
3;159;Max J. Friedländer: Über die Malere;Bruckmann Verlag, 1963
3;160;A Golden Souvenir Of Canada;Guidebook Company, 1989
3;161;Dr.Kiss Ferenc: Isten beszéde élő és ható 1.-2.;Evangéliumi Kiadó, 2017
3;162;Scott Meyers: Effektiv C++ programmieren 50 Möglichkeiten zur Verbesserung Ihrer Programme;
3;163;"""Hivatásunk a ránk bízott élet"" - Családpedagógiai Konferencia";Veszprém, 2002
3;164;Goswin Frenken: Bücher des Mittelalters - Wunder un Taten der Heiligen (A szentek tettei és csodái német nyelven);München
3;165;Stephen White Richard Sakwa Henry E. Hale: Developments in Russian Politics;Palgrave, 2010
3;166;Günther G. Schulze: Reformen für Deutschland;2009
3;167;Mikuska Janka: Misszió az életért - Beszélgetések békeharcosokkal, békefenntartókkal (I. kötet);Magánkiadás
3;168;Kelemen Hajna (szerk.): A romantika irodalmából (Kiegészítő szöveggyűjtemény);1992
3;169;Charles H. Knickerbocker: The Hospital War;1966
3;170;H. Arnold Barton: A Folk Divided: Homeland Swedes and Swedish Americans 1840-1940;Southern Illinois University Press, 1994
3;171;Dr. Goda László: A viziutak műszaki paramétereinek meghatározása - Módszertani útmutató;1976
3;172;R. P. Moore: The Black and White Book: Two Sides to Every Story;Pocket Books, 2001
3;173;G. Robert Carlsen: Insights (The McGraw-Hill Literature Series);1985
3;174;J. Cummings Michael R. Trimble: Neuropsychiatry and behavioral neurology;Washington, 2002
3;175;Bibliai tanulmányok a családi kör részére /A keresztény hit alaptanai/;Budapest
3;176;Roy Lewis: The evolution man (Or How I Ate My Father);Vintage Books, 1960
3;177;H. A. Treble M.A.: English Prose Passages For Repetition;Oxford University Press, 1926
3;178;Szekeres Andrea - Szoboszlai János (Szerk.): V = A x Omega (Magyar-angol kétnyelvű) - Saját képpel;Szent István Kir. Múzeum, 1995
3;179;Christopher Pike: Chain Letter 2 - The Ancient Evil;Pocket Books
3;180;Bárkányi Ildikó (szerk.): A Móra Ferenc múzeum évkönyve - Néprajzi tanulmányok 3.;Csongrád Megyei Múzeumok, 2001
4;181;Tóth Mike S. J.: Az Erényesség Zátonyai;
4;182;Eberhard Haufe: Wir vergehn wie Rauch von starken Winden - Deutsche Gedichte des 17. Jahrhunderts I-II.;Rütten und Loening, 1985
4;183;A Szociáldemokrata Párt Képzőművészeinek Társasága és meghívott művészek kiállítása 1945. évi október 13-tól október 28-ig;Budapest, 1945
4;184;Henner Schierenbeck: Ertragsorientiertes Bankmanagement 1;2003
4;185;Lawrence D. Schal Charles W. Haley: An introduction to financial management;McGraw-Hill Book Company, 1983
4;186;10 db fotó Berlinről (grafikus másolat = Graphokopie H. Sander Berlin).A képek hátoldalán német-orosz-angol-francia nyelvű helymegjelölés.;
4;187;Professor Kauko K. Makinen-Alonzo H. Jones: Xylitol: An Amazing Discovery for Health (Woodland Health Series);2007
4;188;Tudományos Dialóg 2. szám (1998. március);1998
4;189;Erdey-Grúz Ágota (szerk.): A távközlési szolgálatok fogalmai és meghatározási;Távközlési Könyvkiadó, 1996
4;190;Tananyag a marósok tanfolyama számára 2. füzet - A marós szakma sajátos továbbképzési ismeretanyaga;Budapest, 1973
4;191;Alan Anderton: A Level Business Studies for AQA;2005
4;192;Erwin L. Levine Elmer E. Cornwell Jr.: An introduction to american government;1973
4;193;Kolozsi Tibor: Erzsébetlaktól a Maglajig - Dedikált - Számozott;Életjel Kiadó
4;194;Dr. Luckhaub Gyula: A kamatláb meghatározása elsőrendű interpolációval;Franklin-Társulat
4;195;Ketterer Kunst München - Moderne Kunst - 2.;München, 1999
4;196;Vécsey Géza: A felekezetek pénzügyi és közigazgatási kézikönyve;Szerzői Kiadás, 1904
4;197;Veljko Vlahovic: A forradalmak és az alkotómunka;Forum, 1975
4;198;André Maillet L. Morel: Entrons dans la vie;Marcel Didier, 1959
4;199;M. Pliszecki: Az ember eredete;Új Magyar Könyvkiadó
4;200;Stübe Ferenc Stübe Krisztián: Belülről jönnek a fények - Versek (gondolatok) - Dedikált;Magánkiadás, 2005
4;201;James C. Whittaker: Es war als sangen die Engel;Gütersloher Verlagshaus, 1976
4;202;Dr. Kaiblinger Fülöp (szerk.): Beszámoló a XV. nemzetközi gyorsírókongresszusról I. kötet - Magyar rész;1928
4;203;Ivanics István (főszerk.): Interpress Magazin - 4. évf. 5. szám (1978);Interpress, 1978
4;204;Ivanics István (főszerk.): Interpress Magazin - 5. évf. 11. szám (1979);Interpress, 1979
4;205;A X. kereskedelmi oktatásügyi nemzetközi kongresszus közleményei I-II.;1913
4;206;Karl von Rotteck: Allgemeine Geschichte vom Anfang der historischen Kenntniß bis auf unsere Zeiten I. (Erster Band);Braunschweig, 1854
4;207;Saint Francois: Lettres de Saint Francois de sales A des personnes vivant dans le monde;1866
4;208;Robert J. Ray: Cage of mirrors - Első kiadás;1980
4;209;Ivanics István (főszerk.): Interpress Magazin - 9. évf. 2. szám (1983);Interpress, 1983
4;210;Ivanics István (főszerk.): Interpress Magazin - 3. évf. 2. szám (1977);Interpress, 1977
4;211;Ivanics István (főszerk.): Interpress Magazin - 5. évf. 3. szám (1979);Interpress, 1979
4;212;Ivanics István (főszerk.): Interpress Magazin - 5. évf. 10. szám (1979);Interpress, 1979
4;213;Á l'hotel bertram (A Bertram szlló);Librairie des Champs-Élysées, 1967
4;214;Ivanics István (főszerk.): Interpress Magazin - 9. évf. 1. szám (1983);Interpress, 1983
4;215;John A. Hostetler: Amish Society;1980
4;216;The Illustrated London News, 25 January 1936. (114-152 p. + Supplement I-XXIV.) No. 5049 - Volume 188. - saját fotók;1936
4;217;THE SPHERE. (MAGAZINE) FEBRUARY 1.1936 (170-228 p.)THE FUNERAL OF KING GEORGE V.;1936
4;218;Ivanics István (főszerk.): Interpress Magazin - 4. évf. 2. szám (1978);Interpress, 1978
4;219;Ivanics István (főszerk.): Interpress Magazin - 5. évf. 2. szám (1979);Interpress, 1979
4;220;Knowledges Masters - The Earth / Tudás mesterei - A föld/ Angol nyelvű;2006
4;221;Solymossy Sándor (szerk.): Ethnographia (népélet). A Magyar Néprajzi Társaság közlönye XI-XII. évfolyam 1929-1930.;Néprajzi társaság, 1930
4;222;Soldaten des sozialismus I-II. (minikönyv);
4;223;Hans Mayer: Deutsche Literatur Kritik - Band 4;Fischer Taschenbuch Verlag, 1983
4;224;Ludwig Wolff: Fel a fejjel, Charly! (Regény - Fordította Fodor Mária) - Saját képpel;Singer és Wolfner, 1928
4;225;Papházi Tivadar: MÚLT és JELEN A SZÍNPADON - 6 dráma (Dedikált) - Saját képpel;Bíró Family, 1999
4;226;Exclusive (For the man who cares) Vol. 1. No. 1., November/December 1967;1967
4;227;Iványi Attila Szilárd: Értékelemzés-racionalizálás a gyártástervezésben (Szervezettség és hatékonyság) - Saját képpel;Közgazdasági és Jogi Könyvkiadó, 1985
4;228;Arthur I. Gates Mae Knight Clark: Sharing Adventures;The Macmillan Company, 1957
4;229;Dow Hungary: Dowterm: Felhasználói kézikönyv a Dowterm számítógépes programhoz (Styrofoam) - Hőtechnikai méretezési program;Budapest
4;230;Drámák GYÖNGYÉLET/MUSGRAVE ŐRMESTER TÁNCA/A DOLOGHÁZ SZAMARA/ARMSTRONG VÉGBÚCSÚJA/ZSÁKOS EMBER TERHE;Európa Könyvkiadó
4;231;Scott A. Huettel - Allen W. Song - Gregory McCarthy: Functional Macnetic Resonance Imaging;2009
4;232;A nyugalom évei;KOSSUTH KÖNYVKIADÓ, 1980
4;233;E. Turcsányi: Das Achtbeinige Wunder der Spinne;Corvina Kiadó, 1966
4;234;Emma S. Woytinsky: Profile of the U.S. Economy - A Survey of Growth and Change;Frederick A. Praeger, 1967
4;235;Sütő András: A nyugalom bajnoka - Első kiadás;Állami irodalmi és művészeti k, 1959
4;236;René Arnaud: Le 2 décembre;Hachette, 1967
4;237;Die Kinderwelt von A bis Z;Jugend Und Volk, 1957
4;238;Paul A. Baran: La Economía Política del Crecimiento;1959
4;239;Wolf Marshall: Best of George Benson - A step by step breakdown of his guitar styles and techniques;Hal Leonard
4;240;Omar Khayyám Translated by Edward FitzGerald With illustrations by Edmund J. Sullivan: Rubáiyát of Omar Khayyám - Saját képpel;St. Martin's Press, 1983
5;241;Elizabeth M. Whelan: Toxic Terror - The truth behind the cancer scares;Prometheus Press, 1993
5;242;Werkbuch Attila Kovács - A Munkácsy Mihály-díjas magyar festő dedikációjával - Dedikált! - Dedikált;nincs megadva, 2002
5;243;Juhász Anikó Darvasné Ördög Edit Jankuné Kürthy Gyöngyi: Minőségi rendszerek szerepe a hazai élelmiszergazdaságban;2010
5;244;Karl Seitz: 8 kötet 19. századi gót betűs kottás daloskönyv egyben - Lieder Album fur Männer Gesang Vereine Bass 1-2. + Tenor 1-2. + Regensburger Liederkranz Bass 1-2. + Tenor 1-2. - 1878-as;nincs megadva
5;245;4 kötet 19. századi gót betűs kottás daloskönyv egyben - Regensburger Liederkranz Bass 1-2. + Tenor 1-2. - 1879-es;nincs megadva
5;246;8 kötet 19. századi gót betűs kottás daloskönyv egyben - Regensburger Liederkranz Bass 1-2. + Zauberklänge - Sammlung von 90 Liedern för Männerchor Bass 1-2. + Tenor 2. + Gesänge der Augsburger Liedertafel Tenor 1-2. + Bass 1.;nincs megadva
5;247;Pompor Zoltán: Református pedagógus identitás 1. (válogatás a Magyar Református Nevelés 2000-2008 között megjelent számaiból);2008
5;248;John B. Taylor: Economics;2000
5;249;Г. Б. Баширова (G. B. Basirova) szerk.: Веселая россыпь - Татaрский народный юмор (Tatár népi humor);Moszkva, 1974
5;250;Dr. F. Hegelmaier: Vergleichende Untersuchungen über Entwicklung dikotyledoner Keime: mit Berücksichtigung der pseudo-monokotyledonen - 1878-as;Stuttgart
5;251;Hubay Miklós: Színház a Cethal hátán (Hat tragédia - Hat műmelléklettel) - Saját képpel;Szépirodalmi Könyvkiadó, 1974
5;252;A szombathelyi egyházmegyei könyvtár ősnyomtatványainak és antikváinak katalógusa;Szombathely, 2006
5;253;Levi S. Jacob Ralphy E. Jhirad: Judaism (Silverdale Books);Silverdale books, 2000
5;254;Jennifer Ashley: Primal Bonds (Shifters Unbound 2.);2012
5;255;Dr. J. B. Weisz: Weltgeschichte I.;Wilhelm Braumüller, 1859
5;256;Ismeretlen Szerző: Soproni Musica da camera No. 2 (Capricorn Music) for clarinet,violin...;
5;257;Tassos N. Petris: The Peloponnese;1982
5;258;"3 db Rare könyv: Berryl Bainbridge - A varrónő; Jürg Federspiel - Mary, a halál angyala; André Malraux - Lázár;";Magvető Kiadó
5;259;Operation Timothy Original: Book 1 (1970) (Volume 1);
