year;page;title;average_score;votes;price;categories;author;publisher;cover_type;publication_year;num_pages;format;code
1999;1;Multiplan: Mumiile egiptene;0;0;8.67;Atlase, enciclopedii copii;null;RAO;Necartonata;1999;null;250 x 210 x 3 mm;RAO973-98950-2-6
1999;1;Sursele germane ale creatiei eminesciene Vol.1+2 - Helmuth Frisch;0;0;31.5;Litere Critica Literara;Helmuth Frisch;SAECULUM I.O.;Necartonata;1999;832;240 x 170 x 35 mm;SEC973-9399-37-1
1999;1;Dogmatica experientei ecleziale - Karl Christian Felmy;5;2;35;Carte Ortodoxa;Karl Christian Felmy;DEISIS;Necartonata;1999;328;200 x 130 mm;DEI973-9344-32-1
1999;1;Retete din bucataria lumii - Mircea Georgescu;3;2;21.85;Bucatarie;Mircea Georgescu;SIGMA;Necartonata;1999;228;210 x 150 x 10 mm;SIG973-9489-01-X
1999;1;Istoria civilizatiei britanice. Vol.1. Din preistorie pana in secolul al XVII-lea - Adrian Nicolescu;0;0;59;Istorie Universala;Adrian Nicolescu;INSTITUTUL EUROPEAN;Necartonata;1999;576;195 x 125 x 26 mm;INE978-973-586-122-4
1999;1;Multiplan: Broaste fantastice;0;0;8.67;Atlase, enciclopedii copii;Autor Anonim;RAO;Necartonata;1999;null;245 x 205 x 3 mm;RAO973-98950-1-8
1999;1;Arhitectura care nu exista. Imaginar, virtual, utopie - Augustin Ioan;0;0;45;Arhitectura;Augustin Ioan;PAIDEIA;Necartonata;1999;180;200 x 145 x 10 mm;PAI978-973-936-850-6
1999;1;Puterea rugaciunii iertarea mortilor;5;2;4;Carte Ortodoxa;null;LUX LIBRIS;Necartonata;1999;6;170 x 120 mm;LUL973-97704-5-2
1999;1;Gaina batrana face zeama buna - Armand Lebault;5;1;3;Bucatarie;Armand Lebault;VENUS;Necartonata;1999;80;200 x 130 mm;VEN973-9024-51-3
1999;1;Macaroanele, dar nu numai ele! - Alexandre Dumas;5;4;3;Bucatarie;Alexandre Dumas;VENUS;Necartonata;1999;80;200 x 130;VEN973-9024-40-8
1999;1;Aoleooo, ma doare burta - Auguste Moll Weis;5;1;3;Terapii Alternative;Auguste Moll-Weis;VENUS;Necartonata;1999;80;200 x 130 mm;VEN973-9024-59-1
1999;1;Caise, piersici, prune - Maurice Messegue;5;1;3;Bucatarie;Maurice Messegue;VENUS;Necartonata;1999;80;200 x 130 mm;VEN973-96734-3-0
1999;1;Maslinul si uleiul lui - Maurice Messegue;5;2;3;Bucatarie;Maurice Messegue;VENUS;Necartonata;1999;80;200 x 130 mm;VEN973-9024-07-6
1999;1;Se ieftinesc ouale - Dr. Gottschalk;0;0;3;Bucatarie;Dr. Gottschalk;VENUS;Necartonata;1999;80;200 x 125 x 4 mm;VEN973-9024-54
1999;1;Jocul fluturilor - I. Nicolau;5;1;5.01;Practic Pentru Copii;I. Nicolau;CARMINIS;Necartonata;1999;12;220 x 240 mm;CAM973-9303-58-7
1999;1;Pepenele si... gasca lui! - Maurice Messegue;5;2;3;Diete;Maurice Messegue;VENUS;Necartonata;1999;80;200 x 130 x 3 mm;VEN973-9141-01-3
2000;1;Profetul - Kahlil Gibran;4.4;9;14.25;Dezvoltare Spirituala;Kahlil Gibran;MIX;Necartonata;2000;115;160 x 115 mm;MIX973-98504-3-X
2000;1;Istoria culturii si civilizatiei - Vol. I, II, III - Ovidiu Drimba;5;2;141.75;Cultura Generala, Civilizatii;Ovidiu Drimba;SAECULUM I.O.;null;2000;1255;200 x 130 mm;SEC973-9211-73-9
2000;1;Amprentele zeilor - Graham Hancock;5;2;68;Civilizatii Mitologie;Graham Hancock;ALDO PRESS;Necartonata;2000;560;200 x 130 x 31 mm;ALD973-9307-54-X
2000;1;Ghid de urgente in psihiatrie - Lidia Nica-Udangiu, Dan Prelipceanu, Radu Mihailescu, Mircea Beuran;5;1;31;Medicina;Lidia Nica-Udangiu, Dan Prelipceanu, Radu Mihailescu, Mircea Beuran;SCRIPTA;Necartonata;2000;222;205X120;SCT973-9161-86-3
2000;1;Profetiile de la Celestine - James Redfield;4.9;20 de;33.25;Dezvoltare Spirituala;James Redfield;MIX;Necartonata;2000;224;200 x 130 mm;MIX973-98504-2-1
2000;1;Erminia picturii bizantine - Dionisie din Furna;5;2;120;Carte Ortodoxa;null;SOPHIA;Cartonata;2000;400;240 x 170 mm;SOP973-99692-0-8
2000;1;Patericul Atonit - Arhimandritul Ioannikios;5;3;30;Carte Ortodoxa;Arhimandritul Ioannikios;BUNAVESTIRE;null;2000;527;null;BUN973-80-71-21-6
2000;1;Ciupercile - N. Mateescu;5;1;14.45;Plante Gradinarit;N. Mateescu;MAST;Necartonata;2000;224;200 x 130 mm;MAS978-973-1822-17-4
2000;1;Memento mori - Mihai Eminescu;0;0;14.25;Poezie;Mihai Eminescu;PRUT;Cartonata;2000;184;170 x 115 x 13 mm;PRU9975-69-102-1
2000;1;Nic Nastrusnic si blestemul mumiei - Francesca Simon;5;1;34.34;Literatura Universala;Francesca Simon;GRUPUL EDITORIAL ART;Necartonata;2021;80;190 x 130 x 5;ART978-606-086-268-0
2000;1;Matematica pentru cei mici - Cornelia Mot;0;0;15.75;Carte Prescolara, Joc;Cornelia Mot;EMIA;Necartonata;2000;null;300 x 210 mm;EMI973-8163-03-X
2000;1;Ce si cum - Multimedia si lumile virtuale - Andreas Schmenk;0;0;25.492;Carti educative;Andreas Schmenk, Rainer Kothe, Arno Watjen;RAO;Cartonata;2000;48;280 x 210 mm;RAO973-8175-02-X
2000;1;Bazele spirituale ale prosperitatii - Roy Eugene Davis;5;1;18.05;Dezvoltare Spirituala;Roy Eugene Davis;MIX;Necartonata;2000;96;200 x 130 mm;MIX973-99946-0-1
2000;1;Tratat de gramatica a limbii romane Vol.1: Morfologia - Corneliu Dimitriu;0;0;185.92;Litere Filologie;Corneliu Dimitriu;INSTITUTUL EUROPEAN;Necartonata;2000;864;240 x 165 x 39 mm;INE973-611-091-5
2000;1;Sfinx. Tainele istoriei vol. ii - Hans-Christian Huf;0;0;36.75;Istorie Universala;Hans-Christian Huf;SAECULUM I.O.;Necartonata;2000;383;200 x 130 mm;SEC973-9399-71-1
2000;1;Cantece fara tara - Octavian Goga;0;0;25;Poezie;Octavian Goga;HOFFMAN;Necartonata;2020;150;200 x 130 x 11 mm;HFF978-606-46-1092-8
2000;1;Arta plastica moderna din Basarabia - Tudor Stavila;0;0;35;Arta;Tudor Stavila;STIINTA;Cartonata;2000;136;250 x 170 mm;STI9975-67-171-3
2000;1;Voi cuceri Manhattanul - Judith Krantz;0;0;19;Literatura contemporana;Judith Krantz;ORIZONTURI;Necartonata;2000;608;200 x 130 mm;ORI973-9154-09-3
2000;1;(Re)sursele formei arhitecturale - Nicholas Ray;0;0;48;Arhitectura;Nicholas Ray;PAIDEIA;Necartonata;2000;176;200 x 145 x 11 mm;PAI978-973-806-409-6
2000;1;Centrul lumii locuite - Florin Biciusca;0;0;30;Arhitectura;Florin Biciusca;PAIDEIA;Necartonata;2000;144;200 x 145 x 8 mm;PAI978-973-806-447-3
2000;1;Ceaiurile mele pentru ficat - D.E. Du Brin;5;3;3;Terapii Alternative;D.E. Du Brin;VENUS;Necartonata;2000;80;200 x 130 mm;VEN973-9024-31-9
2000;1;Ceaiurile mele de dragoste - Maurice Messegue;5;2;3;Terapii Alternative;Maurice Messegue;VENUS;Necartonata;2000;80;200 x 130 mm;VEN973-9024-24-8
2000;1;Traiasca mamaliga - D.E. du Brin;5;1;3;Bucatarie;D.E. Du Brin;VENUS;Necartonata;2000;80;200 x 130;VEN973-9024-44-1
2000;1;Cacao, cafea, ceai - Maurice Messegue;4.7;7;3;Bauturi;Maurice Messegue;VENUS;Necartonata;2000;80;200 x 130 mm;VEN973-9024-04-2
2000;1;Afine, agrise, coacaze - Maurice Messegue;5;1;3;Bucatarie;Maurice Messegue;VENUS;Necartonata;2000;80;200 x 130 mm;VEN973-9024-23-0
2000;1;Aveti copii mofturosi? - Alexandre Dumas;4.2;4;3;Bucatarie;Alexandre Dumas;VENUS;Necartonata;2000;80;200 x 130 mm;VEN973-9024-32-7
2000;1;Vinul - C.A. Alboniti;5;2;3;Bauturi;C.A. Alboniti;VENUS;Necartonata;2000;78;200 x 130;VEN973-9024-11-4
2000;1;Morcovul si fratii lui - Maurice Messegue;0;0;3;Bucatarie;Maurice Messegue;VENUS;Necartonata;2000;80;200 x 130 mm;VEN973-96734-9-X
2000;1;Andive, cicoare, anghinare - Maurice Messegue;5;1;3;Terapii Alternative;Maurice Messegue;VENUS;Necartonata;2000;80;200 x 130 mm;VEN973-9024-14-9
2000;1;Chiolhanurile... Mierii! - D.E. Du Brin;5;2;3;Bauturi;D.E. Du Brin;VENUS;Necartonata;2000;80;200 x 130 mm;VEN973-9024-18-1
2000;1;Great English Monarchs and their Times - Gina D. B. Clemen;0;0;52;Carti copii in limbi straine;Gina D. B. Clemen;BLACK CAT;Necartonata;2000;112;240 x 170 x 6 mm;EEE978-88-530-0423-9
2001;1;A zecea viziune - James Redfield;5;6;27.55;Dezvoltare Spirituala;James Redfield;MIX;Necartonata;2001;195;200 x 130 mm;MIX973-99946-2-8
2001;1;Sfantul Nectarie, Sfantul secolului nostru - Sotos Hondropoulos;5;4;30;Carte Ortodoxa;Sotos Hondropoulos;BUNAVESTIRE;null;2001;440;200 x 130 mm;BUN973-8071-15-1
2001;1;Arta pacii - Morihei Ueshiba;5;2;14.25;Dezvoltare Spirituala;Morihei Ueshiba;MIX;Necartonata;2001;128;200 x 130 mm;MIX973-99946-1-X
2001;1;Ioan Slavici. Editie integrala 7 volume;3.7;3;154;Literatura Romana;Ioan Slavici;NATIONAL;Cartonata;2001;6118;240 x 175 x 110 mm;NAT978-973-9459-61-7
2001;1;Sfanta xenia cea smerita si nebuna pentru Hristos;5;3;16;Carte Ortodoxa;null;BUNAVESTIRE;Necartonata;2001;240;200 x 130 mm;BUN973-8071-13-5
2001;1;Chemarea strabunilor - Jack London;5;3;22.492;Povesti, basme, legende;Jack London;ARAMIS;Cartonata;2016;198;200 x 140;ARA978-606-706-301-1
2001;1;Limba engleza fara profesor - Dan Dutescu;4.7;3;85.405;Engleza;null;NICULESCU;null;2001;472;null;NIC973-748-436-9
2001;1;Ne vorbeste Parintele Cleopa 11;0;0;12;Carte Ortodoxa;null;EPISCOPIA ROMANULUI;null;2001;144;200 x 130 mm;EPI973-00000-011
2001;1;Agenda medicala Merck. Simptomele explicate pacientilor;5;1;71.91;Medicina Pentru Toti;Robert S. Porter, Justin L. Kaplan;ALL;Necartonata;2001;520;240 x 160 mm;ALL978-606-587-358-2
2001;1;Ghid de medicina fizica si recuperare medicala - Georgiana-Ozana Tache;5;2;35;Medicina;Georgiana-Ozana Tache;SCRIPTA;Necartonata;2001;288;200 x 120 mm;SCT973-9161-87-1
2001;1;Mitul si filmul - Ana-Maria Plamadeala;0;0;12;Desen Muzica Film Teatru;Ana-Maria Plamadeala;EPIGRAF;Necartonata;2001;176;195 x 130 x 9 mm;EPG9975-903-29-0
2001;1;Nicodim Aghioritul - Elia Citterio;0;0;60;Biografii;Elia Citterio;DEISIS;Necartonata;2001;482;220x140 mm;DEI973-9344-58-5
2001;1;Tapiseria contemporana din Republica Moldova - Ana Simac;0;0;35;Arta;Ana Simac;STIINTA;Cartonata;2001;160;230 x 210 mm;STI9975-67-229-0
2001;1;Ouale de Pasti (Coperta Albastra) - Artur Gorovei;0;0;46;Litere Etnologie;Artur Gorovei;PAIDEIA;Necartonata;2001;340;200 x 100 mm;PAI978-973-596-857-1
2001;1;Sporturile;0;0;24.65;Atlase Enciclopedii;null;RAO;Cartonata;2001;96;290x230;RAO973-8175-16-X
2001;1;Acul si steaua - Gheorghe Grigurcu;0;0;12.6;Poezie;Gheorghe Grigurcu;CHARMIDES;Necartonata;2001;108;200 x 130 mm;CMI973-85066-4-6
2001;1;Atlasul literaturii romane - Adrian Costache, Luminita Cornea, Cristina Ionescu, Gherghe Lazarescu;4;1;49;Culegeri Auxiliare;Cristina Ionescu, Adrian Costache, Luminita Cornea, Gherghe Lazarescu;CARTOGRAPHIA;Necartonata;2001;null;280 x 200 x 3 mm;CAT963-352-124-6
2001;1;Demonii - Colin Falconer;0;0;30;Literatura Universala;Colin Falconer;DEXON;Necartonata;2001;282;200 x 130 x 15 mm;DEX973-9307-61-2
2001;1;Hermeneutica radicala si opera de arta - John E. Hancock;0;0;31;Filosofie Universala;John E. Hancock;PAIDEIA;Necartonata;2001;168;200 x 145 x 9 mm;PAI978-973-806-481-2
2001;1;Istoria civilizatiei britanice. Vol.2. Secolul al XVII-lea: 1603-1714 - Adrian Nicolescu;0;0;39;Istorie Universala;Adrian Nicolescu;INSTITUTUL EUROPEAN;Necartonata;2001;328;195 x 125 x 16 mm;INE978-973-611-165-5
2001;1;Pravila de rugaciune. Bogorodisnaia;5;6;3;Carte Ortodoxa;Autor Anonim;SF. XENIA-PRESS;Necartonata;2001;48;145 x 105 x 2 mm;SXE973-00000-001
2001;1;Ceaiurile mele pentru copii - M. Messegue;5;3;3;Terapii Alternative;Maurice Messegue;VENUS;Necartonata;2001;80;200 x 130 mm;VEN973-9024-18-5
2001;1;Ceaiurile Mele Pentru Barbati - M. Messegue;0;0;3;Terapii Alternative;M. Messegue;VENUS;null;2001;null;200 x 130 mm;VEN978-973-766-442-6
2001;1;Legumele - Eduard Baltzer;4.9;7;3;Bucatarie;Eduard Baltzer;VENUS;null;2001;80;13X20;VEN974-9024-69-6
2001;1;Hai sa mancam picant! - M. Messegue, Michel Bontemps;5;1;3;Bucatarie;Michel Bontemps, Maurice Messegue;VENUS;Necartonata;2001;80;200 x 130 mm;VEN973-9024-18-4
2001;1;Ceaiurile mele pentru femei - M. Messegue;5;3;3;Terapii Alternative;Maurice Messegue;VENUS;Necartonata;2001;80;200 x 130 mm;VEN973-9024-10-9
2001;1;Ceaiurile Mele Pentru Stomac - D.E. Du Brin;0;0;3;Terapii Alternative;D.E. Du Brin;VENUS;null;2001;null;200 x 130 mm;VEN973-9024-02-5
2001;1;Ingrijiti-va rinichii - Auguste Moll-Weiss;5;2;3;Bucatarie;Auguste Moll-Weiss;VENUS;Necartonata;2001;80;200 x 125 x 4 mm;VEN973-9024-54-8
2001;1;Miere, propolis, laptisor de matca - D.E. Du Brin;5;1;3;Terapii Alternative;D.E. Du Brin;VENUS;Necartonata;2001;80;200 x 130 mm;VEN973-9024-59-9
2001;1;Brrr! Inghetata - A. Dumas;5;5;3;Bucatarie;Alexandre Dumas;VENUS;Necartonata;2001;80;200 x 130 mm;VEN973-9024-18-2
2001;1;Sa ne tratam si cu... piper?! - M. Messegue;5;2;3;Medicina Pentru Toti;Maurice Messegue;VENUS;null;2001;80;13X20;VEN973-9024-5-7
2001;1;Ceapa si prazul - Maurice Messegue;4.7;3;3;Terapii Alternative;Maurice Messegue;VENUS;null;2001;80;13X20;VEN973-96734-5-7
2001;1;Se poarta vitaminele - D.E. du Brin;0;0;3;Terapii Alternative;D.E. Du Brin;VENUS;Necartonata;2001;80;200 x 130 mm;VEN973-9024-15-7
2001;1;Alice in Tara Oglinzilor - Lewis Carroll;0;0;15;Literatura Universala;Lewis Carroll;CARTEX;Necartonata;2022;128;200 x 130 x 7 mm;CAR978-606-091-081-7
2001;1;Ardei Rosii Vinete - Maurice Messegue;0;0;3;Terapii Alternative;Maurice Messegue;VENUS;null;2001;80;13X20;VEN973-9024-53-X
2001;1;Un prieten pentru copiii nostri - Ileana Andreescu;0;0;3;Animale Pasari;Ileana Andreescu;VENUS;Necartonata;2001;80;200 x 130 mm;VEN973-9024-04-1
2001;1;Capsuni, cirese, visine - Maurice Messegue;5;1;3;Bucatarie;Maurice Messegue;VENUS;Necartonata;2001;80;200 x 130 mm;VEN973-9024-24-6
2002;1;Cele patru legaminte, cartea intelepciunii toltece - Don Miguel Ruiz;5;33 de;20;Dezvoltare Spirituala;Don Miguel Ruiz;MIX;Necartonata;2002;160;160 x 110 mm;MIX973-85646-8-9
2002;1;Psihologia multimilor - Gustave Le Bon;4.8;5;22.5;Psihologie, psihanaliza, logica;Gustave Le Bon;ANTET REVOLUTION;Necartonata;2002;104;200 x 130 mm;ANT973-99336-2-9
2002;1;Psaltirea Maicii Domnului cu scris mare;5;4;12;Carte Ortodoxa;Autor Anonim;BISERICA ORTODOXA ROMANA;Cartonata;2002;240;180 x 130 mm;BOR973-566-260-4
2002;1;Tratat de dezinformare - Vladimir Volkoff;5;2;33.25;Comunicare Jurnalism;Vladimir Volkoff;ANTET REVOLUTION;Necartonata;2002;256;200 x 140 x 10 mm;ANT973-9241-87-5
2002;1;Fabule, proza, poezii - Grigore Alexandrescu;5;3;11.4;Literatura Romana, Fabule;Grigore Alexandrescu;HERRA;Necartonata;2002;160;200 x 130 mm;HRR973-85712-1-9
2002;1;Poezii - George Cosbuc;5;1;13.02;Literatura Romana;George Cosbuc;ANDREAS;Necartonata;2008;144;200 x 130 mm;ADR973-87575-9-2
2002;1;Ne vorbeste Parintele Cleopa 12;0;0;12;Carte Ortodoxa;Cleopa Ilie;EPISCOPIA ROMANULUI;Necartonata;2002;142;200 x 130 mm;EPI973-00000-012
2002;1;Secretul Shambhalei - James Redfield;5;1;27.55;Dezvoltare Spirituala;James Redfield;MIX;Necartonata;2002;256;200 x 130 mm;MIX973-85646-1-1
2002;1;Cartea despre femei - Osho;4;3;27.55;Dezvoltare Spirituala;Osho;MIX;Necartonata;2002;288;200 x 130 mm;MIX973-85646-0-3
2002;1;Introducere In Stiinta Comunicarii Si A Relatiilor Publice - Flaviu Calin Rus;0;0;18;Comunicare Jurnalism;Flaviu Calin Rus;INSTITUTUL EUROPEAN;null;2002;102;61x86;INE973-611-218-7
2002;1;Singur pe lume - Hector Malot;4.8;48 de;18.05;Literatura Universala;Hector Malot;EDUARD;Necartonata;2018;640;200 x 130 x 26 mm;EDU978-606-571-269-0
2002;1;Marele Gatsby - Francis Scott Fitzgerald;5;1;17.5;Literatura americana;F. Scott Fitzgerald;DAFFI S BOOKS;Necartonata;2015;160;200 x 130 x 10 mm;DAF978-973-701-495-5
2002;1;Parintele Porfirie stravazatorul, inaintevazatorul, tamaduitorul - Anarghiros I. Kalliatsos;5;1;13;Carte Ortodoxa;Anarghiros I. Kalliatsos;BUNAVESTIRE;null;2002;222;200 x 130 mm;BUN973-8071-70-4
2002;1;Armata romana in razboiul de independenta 1877-1878 - Cornel I. Scafes, Horia Vl. Serbanescu;0;0;84.55;Istoria Romanilor;Cornel I. Scafes, Horia Vl. Serbanescu;SIGMA;Necartonata;2002;456;300 x 220 mm;SIG973-9489-45-1
2002;1;Managementul Resurselor Umane - Ticu Constantin, Ana StoicA-Constantin;0;0;44;Pedagogie Metodica;Icu Constantin, Ana Stoica-Constantin;INSTITUTUL EUROPEAN;null;2002;248;61x86;INE973-611-214-4
2002;1;Batranul Porfirie Parintele duhovnicesc si pedagog - Gheorghios S. Kroustalakis;0;0;13;Carte Ortodoxa;Gheorghios S. Kroustalakis;BUNAVESTIRE;null;2002;140;200 x 130 mm;BUN973-8071-48-8
