Publisher;Publisher_Std
Hipocrate;hipocrate
Art;art
Univers Enciclopedic;univers enciclopedic
Vellant;vellant
Sigma Educational;sigma educational
Fundatia9;fundatia9
Galaxia Gutenberg;galaxia gutenberg
Qantum Publishers;qantum publishers
Mondoro;mondoro
Libris Editorial;libris editorial
Echinox;echinox
Tana;tana
Ars Longa;ars longa
Libelula;libelula
Prestige;prestige
Datagroup;datagroup
Scoala Ardeleana;scoala ardeleana
Akakia;akakia
Editura Fundatiei Ileana;editura fundatiei ileana
Stiinta;stiinta
For You;for you
Dorinta;dorinta
Fundatia Academia Civica;fundatia academia civica
;
Tipomoldova;tipomoldova
Corint Junior;corint junior
Casa Cartii de Stiinta;casa cartii de stiinta
Meridiane Publishing;meridiane publishing
Gramar;gramar
Dharana;dharana
Oxford University Press;oxford university press
Herg Benet;herg benet
Pentru arta si literatura;pentru arta si literatura
Arhiepiscopia Romano Catolica Bucuresti;arhiepiscopia romano catolica bucuresti
Didactica si Pedagogica;didactica si pedagogica
Baroque Books & Arts;baroque books  arts
Cartier;cartier
Rosetti;rosetti
Steaua Nordului;steaua nordului
Tractus Arte;tractus arte
Arc;arc
ARCB;arcb
Aramis;aramis
Business Tech;business tech
Gama;gama
Junimea;junimea
Brumar;brumar
Cetatea de Scaun;cetatea de scaun
Lifestyle Publishing;lifestyle publishing
Vivaldi;vivaldi
Proxima;proxima
Philobia;philobia
Galaxia Copiilor;galaxia copiilor
Monitorul Oficial;monitorul oficial
Roxel Cart;roxel cart
Aldopress;aldopress
Mediafax;mediafax
Bifrost;bifrost
Virgo;virgo
Bestseller;bestseller
Bookstory;bookstory
Pilot Books;pilot books
Sophia;sophia
Ari;ari
Uranus;uranus
Panfilius;panfilius
Total Publishing;total publishing
Martorul Clipei;martorul clipei
Andreas;andreas
Ars Libri Junior;ars libri junior
Eurostampa;eurostampa
Ars Libri;ars libri
Librex;librex
Roxalee Healing;roxalee healing
Cadmos;cadmos
Alcor;alcor
Harper Muse;harper muse
Leda;leda
The Borough Press;the borough press
Totul prin joc;totul prin joc
Institutul Prezentului;institutul prezentului
Idea;idea
Age-Art;ageart
Kreativ;kreativ
Girasol;girasol
Comunicare.ro;comunicarero
Casa de Pariuri Literare;casa de pariuri literare
Lumen;lumen
Institutul Cultural Roman;institutul cultural roman
Raspundel Istetel;raspundel istetel
Seneca Lucius Annaeus;seneca lucius annaeus
BMI Publishing;bmi publishing
Regis;regis
Globo;globo
Basilica;basilica
Soma Nova;soma nova
HarperCollins;harpercollins
Clopotiva;clopotiva
Ecou Transilvan;ecou transilvan
Katartis;katartis
Ram;ram
Revistei Timpul;revistei timpul
Lizuka Educativ;lizuka educativ
Aquila;aquila
Meteor Press;meteor press
Casa de Editura Dokia;casa de editura dokia
Joy Publishing House;joy publishing house
Young Art;young art
Astromix;astromix
Literagraf;literagraf
Ploiesti - Mileniul III;ploiesti  mileniul iii
Unicart;unicart
ACS;acs
Charmides;charmides
Casa de Editura Max Blecher;casa de editura max blecher
Result;result
Chelsea Green Publishing;chelsea green publishing
Cuantic;cuantic
Crux Publishing;crux publishing
Lumina Lumii;lumina lumii
Sper;sper
Amaltea;amaltea
Editura Universitara;editura universitara
Petale Scrise;petale scrise
Cismigiu Books;cismigiu books
Doxologia;doxologia
Libris;libris
VISIO;visio
ATU;atu
Neverland;neverland
Theosis;theosis
Agnos;agnos
Nomina;nomina
ULBS;ulbs
Creative Publishing;creative publishing
Rolcris;rolcris
Scriptum;scriptum
Emia;emia
Royal Ink Books;royal ink books
OMG Publishing House;omg publishing house
Epigraf;epigraf
Contemporanul;contemporanul
Rentrop & Straton;rentrop  straton
C.H. Beck;ch beck
Cununi de Stele;cununi de stele
Vlad si Cartea cu Genius;vlad si cartea cu genius
Alcor Edimpex;alcor edimpex
C.H.Beck;chbeck
Storycraft;storycraft
Agaton;agaton
Pavcon;pavcon
Fundatia Culturala Camil Petrescu;fundatia culturala camil petrescu
Liberalis;liberalis
Atman;atman
Fundatia Culturala Secolul 21;fundatia culturala secolul 21
Anteea;anteea
Minerva;minerva
AEDU - Asociatia pentru educatie si dezvoltare urbana;aedu  asociatia pentru educatie si dezvoltare urbana
P+4 Publications;p4 publications
Dacia XXI;dacia xxi
LiterPress Publishing;literpress publishing
Orion;orion
Livingstone;livingstone
Fundatiei Interart Triade;fundatiei interart triade
Intaglio;intaglio
Lumea Credintei;lumea credintei
Paul Editions;paul editions
Bonnier Books Ltd;bonnier books ltd
Amsta Publishing;amsta publishing
Presa Universitara Clujeana;presa universitara clujeana
Editura pentru Arta si Literatura;editura pentru arta si literatura
Yacht Club Roman;yacht club roman
Carte Romaneasca Educational;carte romaneasca educational
Eveniment si Capital;eveniment si capital
Pionier Press;pionier press
Cartea de dupa;cartea de dupa
Noua Acropola;noua acropola
Astro;astro
Cartea Inspirata;cartea inspirata
Penguin Books Ltd;penguin books ltd
Visio;visio
Predania;predania
ZYX Books;zyx books
Solness;solness
Univers Juridic;univers juridic
Rocart;rocart
Cartea Copiilor;cartea copiilor
Cartea Ta;cartea ta
Editura Alchimica;editura alchimica
Firul Ariadnei;firul ariadnei
Ad Libri;ad libri
Penguin Books;penguin books
Editura Fundatiei Arhitext design;editura fundatiei arhitext design
Flamingo GD;flamingo gd
Proema;proema
Mast;mast
Fundatia Generatia;fundatia generatia
Helen;helen
Violet;violet
Seneca;seneca
Bizantina;bizantina
Pescarus;pescarus
Egumenita;egumenita
Rao;rao
Lidana;lidana
Pagina de Psihologie;pagina de psihologie
Tehno-Art;tehnoart
All;all
Helen Exley;helen exley
Sfantul Nicolae;sfantul nicolae
Persona;persona
Cartemma;cartemma
Universitara;universitara
Vidia;vidia
Printpress;printpress
Scriitorilor;scriitorilor
Editura Scriitorilor;editura scriitorilor
Vicovia;vicovia
Taida;taida
A.T.U.;atu
Neuma;neuma
Quarto;quarto
Meridiane;meridiane
Institutul Biblic;institutul biblic
ASCR;ascr
Lambodar;lambodar
Carusel Books;carusel books
Sellification;sellification
Enciclopedica;enciclopedica
Aldo Press;aldo press
Asociatia Tita si Telu;asociatia tita si telu
Lumea apicola;lumea apicola
Babel;babel
Etnologica;etnologica
RisoPrint;risoprint
Reflex;reflex
Preda Publishing;preda publishing
Nominatrix;nominatrix
Dacica;dacica
Cartdidact;cartdidact
Omnium;omnium
Farmamedia;farmamedia
Vintage;vintage
Polisalm;polisalm
Sofiami;sofiami
Editura Fundatiei Culturale Memoria;editura fundatiei culturale memoria
Publisol;publisol
Lulu.com;lulucom
Ink Story;ink story
Arrow Books;arrow books
Tandem Media;tandem media
Centrul Cultural Lumina;centrul cultural lumina
Houghton Mifflin Harcourt Publishing Company;houghton mifflin harcourt publishing company
Sinapsis;sinapsis
Macmillan Education;macmillan education
Nepsis;nepsis
Universul Academic;universul academic
Caba;caba
Booket;booket
Deceneu;deceneu
frACTalia;fractalia
Muzeul Literaturii Romane;muzeul literaturii romane
Fast Editing;fast editing
Discobolul;discobolul
Universitatii Nationale de Muzica Bucuresti;universitatii nationale de muzica bucuresti
Carte Diem;carte diem
Marist;marist
Fundatia Pictor George Stefanescu;fundatia pictor george stefanescu
Primus;primus
Bybliotek;bybliotek
Berg;berg
Hyperliteratura;hyperliteratura
MMS;mms
Fundatia Ileana;fundatia ileana
Miron;miron
Act;act
De suflet;de suflet
Casa Radio;casa radio
vlad;vlad
ETNOLOGICA;etnologica
Casa Cartilor;casa cartilor
Migdal;migdal
Noi Media Print;noi media print
Tesu;tesu
Vasiliana 98;vasiliana 98
CLC PUBLICATIONS;clc publications
Dezarticulat;dezarticulat
Asociatia de Stiinte Cognitive din Romania;asociatia de stiinte cognitive din romania
Lumea crestina;lumea crestina
Ingenium;ingenium
Tezaur;tezaur
Bucuresti 2000;bucuresti 2000
Remind;remind
Povestela Ofir;povestela ofir
Ideea;ideea
Pim;pim
Ganesha;ganesha
Adenium;adenium
Digital Data;digital data
Muzeul National Cotroceni;muzeul national cotroceni
Editura Universitaria Craiova;editura universitaria craiova
ICR;icr
Aranca;aranca
Multi Media Est Publishing;multi media est publishing
Asociatia Arta in dialog;asociatia arta in dialog
Gunivas;gunivas
Renasterea;renasterea
Editura Asociatiei pentru dezvoltarea inteligentei emotionale;editura asociatiei pentru dezvoltarea inteligentei emotionale
Aha Books;aha books
Businesstech;businesstech
Napoca Star;napoca star
Heyday Books;heyday books
Economie;economie
Universul juridic;universul juridic
Roxel;roxel
Anastasia;anastasia
Galaxia Gutemberg;galaxia gutemberg
CD Press;cd press
Muzeul National de Arta;muzeul national de arta
Pro Cultura;pro cultura
Sigma;sigma
Lex Comics;lex comics
iBlock;iblock
Gramma;gramma
Magga Books;magga books
Neo Drom;neo drom
Meronia;meronia
Detectiv literar;detectiv literar
Meditative Arts;meditative arts
Editura Medicala;editura medicala
Galeria de Arta Senso;galeria de arta senso
Technopress;technopress
Arania;arania
Maestro Tip;maestro tip
Contrasens;contrasens
Viga;viga
Islamul Azi;islamul azi
Diacritic;diacritic
Izvorul Cuvantului;izvorul cuvantului
Carte Inspirata;carte inspirata
Editura Universitara Craiova;editura universitara craiova
Fundatia Culturala Memoria;fundatia culturala memoria
Smart Publishing;smart publishing
Ploiesti- Mileniul III;ploiesti mileniul iii
Prut international;prut international
K-West Verlag;kwest verlag
Coreus Publishing;coreus publishing
Areopag;areopag
Allfa;allfa
ROSETTI INTERNATIONAL;rosetti international
Transworld;transworld
Carminis;carminis
Biblion;biblion
EuroPress Group;europress group
Cathisma;cathisma
Ascendent;ascendent
Proiect sprijinit de AdSymphony;proiect sprijinit de adsymphony
Casa Paleologu;casa paleologu
Pan Macmillan;pan macmillan
Romania Press;romania press
Doua inimi mici;doua inimi mici
Tetrahedron;tetrahedron
Editura Juridica;editura juridica
Literatura;literatura
Revista Golan;revista golan
Psihobooks;psihobooks
Mihail Sadoveanu;mihail sadoveanu
Alicat;alicat
Agol;agol
Manastirea Stavropighie Sfantul Ioan Botezatorul;manastirea stavropighie sfantul ioan botezatorul
Aska;aska
Alchimica Ezoterica Fundamentala;alchimica ezoterica fundamentala
ISPMN Publishing;ispmn publishing
Publisher Cato & The Pomelo Books;publisher cato  the pomelo books
Meteor Publishing;meteor publishing
Whitechapel Gallery;whitechapel gallery
BusinessTech;businesstech
InStudent Education UK Ltd;instudent education uk ltd
Mirton;mirton
Yume;yume
Tehnopress;tehnopress
Asociatia Bucurestiul meu drag;asociatia bucurestiul meu drag
Shah Publishing;shah publishing
Step by Step;step by step
Ararat;ararat
Universitsria Craiova;universitsria craiova
Artprint;artprint
Sens;sens
lumen;lumen
Christiana;christiana
Orizonturi Universitare;orizonturi universitare
In Extenso;in extenso
Ecou;ecou
Pocket;pocket
Bucuresti;bucuresti
Stefadina;stefadina
Wordsworth Editions Ltd;wordsworth editions ltd
Reea;reea
Kulcslyuk Kiado;kulcslyuk kiado
Sigantura;sigantura
Impedimenta;impedimenta
Arcana;arcana
Diverta;diverta
Muzeul Judetean de Istorie Brasov;muzeul judetean de istorie brasov
Editura Istoria Artei;editura istoria artei
AllZenit;allzenit
Asociatia DaDeCe;asociatia dadece
Editura Nadya;editura nadya
Printech;printech
Readers Do Good;readers do good
Readiful;readiful
IBU Publishing;ibu publishing
Glalaxia Gutenberg;glalaxia gutenberg
G-Adam Kiado;gadam kiado
One Book;one book
Europress;europress
Wolters Kluwer;wolters kluwer
Box of Crayons Press;box of crayons press
Tribuna;tribuna
Berkley;berkley
Carmel;carmel
Gomag;gomag
Quantum Publishers;quantum publishers
Favorit;favorit
comunicare.ro;comunicarero
Artec Impresiones;artec impresiones
ACt si politon;act si politon
Brasov;brasov
Noul Scrib;noul scrib
Fractalia;fractalia
Lumen, Lumen;lumen lumen
Casa Povestilor;casa povestilor
Taj;taj
Palimpsest;palimpsest
Taschen;taschen
Hamangiu;hamangiu
Editura Universitatii din Bucuresti;editura universitatii din bucuresti
Siaj;siaj
Pro Univ;pro univ
Hot Key Books;hot key books
Muzicala;muzicala
Actaeon Books;actaeon books
Life Learning Education;life learning education
ulbs;ulbs
Diana;diana
Astralis;astralis
Ozalid;ozalid
Human Synergistics;human synergistics
Quality Books;quality books
The University of Buckingham Press;the university of buckingham press
Themis Cart;themis cart
Carpathian 2 Wheels;carpathian 2 wheels
Romanian Australian Book Club;romanian australian book club
Restitutio;restitutio
LMS Books;lms books
Mara;mara
Reintregirea;reintregirea
ePublishers;epublishers
Spirit si Destin;spirit si destin
Creativ;creativ
Tipo Moldova;tipo moldova
Clara Toma Publishing House;clara toma publishing house
Didactica;didactica
Bionovativ;bionovativ
Grafix;grafix
OEM;oem
Biroul Casei;biroul casei
Gutenberg;gutenberg
SPER;sper
bookstory;bookstory
Topform;topform
Omonia;omonia
Ebury;ebury
EFG;efg
UartPress;uartpress
Cassius Books;cassius books
Ars;ars
Economica Preuniversitaria;economica preuniversitaria
Cetatea de scaun;cetatea de scaun
Ceconi;ceconi
Kron Art;kron art
Iona;iona
Eclipsa;eclipsa
Cutiuta cu povesti;cutiuta cu povesti
Aedu;aedu
Academia Romano-Australiana;academia romanoaustraliana
Solomon;solomon
Educative Minds;educative minds
The New Earth;the new earth
Ztiinta;ztiinta
Carpathia Press;carpathia press
Asociatia After;asociatia after
Cetatea De Scaun;cetatea de scaun
Trinom;trinom
Hachette Children's Group;hachette childrens group
Ortodoxia;ortodoxia
Elicart;elicart
Vasiliana;vasiliana
St. Martin's Griffin;st martins griffin
Corvin;corvin
Univers Educational;univers educational
Cartea copiilor;cartea copiilor
ACORN GECKO;acorn gecko
AMAIS;amais
Allegria;allegria
Ladybird;ladybird
Fundatia Anastasia;fundatia anastasia
Deisis;deisis
Carta Atlas;carta atlas
Artmed;artmed
Taj Books & Media;taj books  media
Oscar Print;oscar print
Caiete Silvane;caiete silvane
Orion Publishing Co;orion publishing co
Paginarium;paginarium
Harvard Business Review Press;harvard business review press
Pagina De Psihologie;pagina de psihologie
Evolve;evolve
Institutul Pentru Studierea Problemelor Minoritatilor;institutul pentru studierea problemelor minoritatilor
Sonia;sonia
Big Picture Press;big picture press
Anglitira;anglitira
Pegas;pegas
EuroPress;europress
Celestium;celestium
StudIS;studis
Scholastic;scholastic
Excalibur;excalibur
Art Society;art society
Nagard;nagard
Esti Mai Mult;esti mai mult
Samuel Tastet;samuel tastet
Casa De Pariuri Literare;casa de pariuri literare
Meteor Junior;meteor junior
Little, Brown and Company;little brown and company
Fundatia social-culturala a romilor Ion Cioaba;fundatia socialculturala a romilor ion cioaba
Virgo eBooks Publishing;virgo ebooks publishing
Constiinta Cartii;constiinta cartii
Storykids Edu;storykids edu
Art Klett;art klett
Rocade;rocade
Celestara;celestara
Atlantic Books;atlantic books
Basmograf;basmograf
Creatio;creatio
Cartdidactica;cartdidactica
SquareMedia;squaremedia
Gestalt Books;gestalt books
Cavallioti;cavallioti
Copilul Verde;copilul verde
ARTPRINT;artprint
twenty7;twenty7
Manuscris;manuscris
DC Comics;dc comics
File de lumina;file de lumina
Cornerstone;cornerstone
Walker Books;walker books
Editura Universitatii Emanuel;editura universitatii emanuel
Semne;semne
KidKit;kidkit
Self Published;self published
Papirus Media;papirus media
Amanda Edit Verlag;amanda edit verlag
Casa de pariuri literare;casa de pariuri literare
Via Junior;via junior
Mediamorphosis;mediamorphosis
Seven Seas Entertainment;seven seas entertainment
Proima;proima
Grama;grama
UP;up
Korunk;korunk
Coresi;coresi
Behemot;behemot
Cu alte cuvinte;cu alte cuvinte
Moft;moft
Fundatia Romania de Maine;fundatia romania de maine
Sapientia;sapientia
Carte Romaneasca;carte romaneasca
Age Art;age art
Via;via
Floare de Iris;floare de iris
Act si politon;act si politon
Arktica;arktica
Mirador;mirador
Avid Reader Press / Simon & Schuster;avid reader press  simon  schuster
Carmelitana;carmelitana
EducativeMinds Co.;educativeminds co
Gallimard;gallimard
Editura Evenimentul si Capital;editura evenimentul si capital
Tempus;tempus
Ponte;ponte
Uniunea Scriitorilor din Romania;uniunea scriitorilor din romania
Artes;artes
Zeus;zeus
Sfantul Ierarh Nicolae;sfantul ierarh nicolae
Asociatia pentru Dezvoltarea Inteligentei Emotionale;asociatia pentru dezvoltarea inteligentei emotionale
Beta Aquarii;beta aquarii
Institutul de Istorie a Religiilor;institutul de istorie a religiilor
C&N Verlag Berlin;cn verlag berlin
Giroedu;giroedu
Cluj-Napoca;clujnapoca
MindMap;mindmap
Asociatia Cultural Sportiva Proactiv;asociatia cultural sportiva proactiv
M Creative Space;m creative space
Poseidon;poseidon
Tess Expres;tess expres
Shelfie;shelfie
Igloo Media;igloo media
Asociatia Pepluspatru;asociatia pepluspatru
Maxwell Publishing;maxwell publishing
Asociatia Opus;asociatia opus
Editura de Suflet;editura de suflet
Stefan;stefan
Corint Educational;corint educational
Pe cont propriu;pe cont propriu
Amandoi;amandoi
Ink Publishing House;ink publishing house
The Writing Journey;the writing journey
Povesti de papadie;povesti de papadie
Locul Tare;locul tare
Fundatia Maria;fundatia maria
scoala ardeleana;scoala ardeleana
Sedcom Libris;sedcom libris
Projectograph;projectograph
Doina Cornea;doina cornea
Simetria;simetria
Farma Media;farma media
Rares Besliu;rares besliu
Cristina Stefan;cristina stefan
Claudiu Istodor;claudiu istodor
Asociatia de Psihoterapie Pozitiva;asociatia de psihoterapie pozitiva
Enigel;enigel
Atec;atec
Benefica;benefica
Vision;vision
Compania Dan Puric;compania dan puric
Polirim;polirim
Lexon Prim;lexon prim
Studio Zona;studio zona
Exit;exit
Crizoteca;crizoteca
Comunitatea Sfantul Ioan;comunitatea sfantul ioan
Dimoflam;dimoflam
Vrema;vrema
Presa Universitară Clujeană;presa universitara clujeana
Marketingmastermind;marketingmastermind
Phaidon;phaidon
WW Norton & Co;ww norton  co
Piatkus;piatkus
Integral Yoga Publications;integral yoga publications
BETTA;betta
Antim Ivireanul;antim ivireanul
Flame Tree Publishing;flame tree publishing
William Collins;william collins
Elpis;elpis
Avulon;avulon
Unicersul Juridic;unicersul juridic
Cambridge University Press;cambridge university press
Pretsige;pretsige
Rosetti Educational;rosetti educational
Midnight Books;midnight books
John Catt Educational Ltd;john catt educational ltd
Edu Plus;edu plus
Diacon Coresi;diacon coresi
David;david
Papirus;papirus
FEST;fest
Black Cat Publishing;black cat publishing
Noua;noua
Galeria Posibila;galeria posibila
EXIT kiado;exit kiado
Universitatii Adventus;universitatii adventus
Nord Sud;nord sud
Tzim Tzum Books;tzim tzum books
Peter Pan Art;peter pan art
Historia;historia
Humanitas fiction;humanitas fiction
ArsLibri;arslibri
Fundatia Transylvania College;fundatia transylvania college
CEEOL Press;ceeol press
Sassi;sassi
Liter Press;liter press
Fernand Nathan;fernand nathan
Moxa 21;moxa 21
Fundatia Interart Triade;fundatia interart triade
Smeura;smeura
Gastroart;gastroart
Universitatea ”Alexandru Ioan Cuza”;universitatea alexandru ioan cuza
Institutul european;institutul european
Libraria Andy Szekely;libraria andy szekely
HHC Romania;hhc romania
Cartographia Kft;cartographia kft
Cartile Tango;cartile tango
RP Editor;rp editor
Dana Art;dana art
Vision Group;vision group
Roossa;roossa
Aqua Forte;aqua forte
Self Publishing;self publishing
Bookworm Publishing;bookworm publishing
prestige;prestige
Art Safari;art safari
RCR Editorial;rcr editorial
Titan Books;titan books
Presige;presige
Universitatea Nationala de Muzica;universitatea nationala de muzica
Canongate Books Ltd;canongate books ltd
Centre Pompidou;centre pompidou
Mala Vibes;mala vibes
Texte;texte
Stef;stef
Editura Noua;editura noua
ascendent;ascendent
Simon & Schuster;simon  schuster
Tracus Art;tracus art
Uniunea Arhitectilor din Romania;uniunea arhitectilor din romania
Alma Books;alma books
Con Fisc;con fisc
letras;letras
Arefeana;arefeana
Plaiut;plaiut
MediaLib;medialib
Wordsworth Editions;wordsworth editions
Elan Agency;elan agency
Bons Offices;bons offices
Princeton University Press;princeton university press
Little Houses;little houses
Re-Design;redesign
Zestrea familiei;zestrea familiei
Academica;academica
Oxford University Press Inc;oxford university press inc
Carpathia;carpathia
Educatia Vederii;educatia vederii
Alias Publishing;alias publishing
Academiei Romane;academiei romane
EST;est
MAIRDUMONT GmbH & Co. KG;mairdumont gmbh  co kg
Eagle;eagle
A.O. Prietena Mea;ao prietena mea
Emerald Publishing;emerald publishing
ConduCorect;conducorect
Profile Books;profile books
Archway Publishing;archway publishing
Cartographia;cartographia
Harvard University Press;harvard university press
Iskola Alapitvany;iskola alapitvany
Michelin;michelin
Tkrk Production;tkrk production
LItera;litera
Punch;punch
Mac Mac;mac mac
Art Encounters;art encounters
Meteor junior;meteor junior
Culinaria;culinaria
Alexandria Publishing House;alexandria publishing house
Liviu Rebreanu;liviu rebreanu
Ars Docendi;ars docendi
Roger Raval Events;roger raval events
MIX;mix
Scholastic US;scholastic us
Alfa;alfa
Alma Classics;alma classics
Parents.Inc;parentsinc
Teba;teba
Saeculum;saeculum
Art Educational;art educational
B.A.C.U;bacu
UNARTE;unarte
VICOVIA;vicovia
Arc & Gunivas;arc  gunivas
Quercus;quercus
